Event Name,Location,Date,Cost,Link,Oct. 2019,Nov. 2019,Dec. 2019,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May. 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Comments
SANS Oil & Gas Cybersecurity Summit & Training,Houston,9/16 - 9/22,$830,,,,,,,,,,,,,,
SANS Threat Hunting & Incident Response Summit & Training,New Orleans,9/30 - 10/7,"$1,890",,,,,,,,,,,,,,
SANS Cyber Threat Intelligence Summit & Training,DC,,"$1,985",,,,,1/20 - 1/27,,,,,,,,,
Billington Cyber Summit,DC,,,,,,,,,,,,,,,,
FireEye Cyber Summit,DC,,,,,,,,,,,,,,,,
DefCon,Vegas,,,,,,,,,,,,,,,,
BlackHat,,,,,,,,,,,,,,,,,
2019 ICS Cyber Security Conference USA,Atlanta,10/21-10/24,"1,795.00",https://www.icscybersecurityconference.com/,,,,,,,,,,,,,
B-Sides DC,DC,10/25-10/27,,http://www.bsidesdc.org/,,,,,,,,,,,,,
Cyber Fire/Foundry,San Diego,11/18-11/22,$0,https://cyberfire.training/,,,,,,,,,,,,,
DOE Cyber Conferences,TBD,,$0,http://www.doecybercon.com,,,,,,,,,,,,,
NNSA Cyber Summit,TBD,,$0,,,,,,,,,,,,,,
Malware Technical Exchange Meeting (MTEM),TBD,,$250 - 300,,,,,,,,,,,,,,
Network Security Monitoring (NSM) Summit,Sandia,Mar-20,$0,,,,,,,,,,,,,,
EnFuse,Las Vegas,11/11-11/14,$995 - 1295,https://www.opentext.com/enfuse,,,,,,,,,,,,,
SANS ICS Security Summit,Orlando,2-9 March,,https://www.sans.org/event/ics-security-summit-2020,,,,,,,,,,,,,"For over a decade the SANS ICS Security Summit has been a leading conference on bringing together researchers, industry professionals, and government audiences. The page above links to the various SANS ICS events but look for the one that says “ICS Security Summit” each year. It is usually held in March at Disney World in Orlando Florida. Its strong suit is the educational and training aspects not only because of the classes but also because of the strong industry focus."
S4x20 ,Miamia Beach,20-23 Jan,"925-2,195",https://s4xevents.com/,,,,1/20-1/23,,,,,,,,,The S4 conference is a powerhouse of leading ICS security research. Dale puts on a fantastic conference every year (now with a European and Japanese venue as well each year) that brings together some of the most cutting edge research and ideas. S4 in the US is often held in January in Florida.
